dates,ET,Tr,Es,Ei,Esb,RF,GW,SM1,SM2,SM3
2011-12-11,0.0516622588038445,0.0113479597494006,0.0373102247213254,0,0.00300407339182129,0,6736.24951171875,0.225067526102066,0.196899563074112,0.0839130282402039
2011-12-12,0.0944916754961014,0.0211984310299158,0.0732925173462998,7.27526038183087e-07,0,0,6736.279296875,0.22307613492012,0.196900114417076,0.0839139893651009
2011-12-13,0.0221785921603441,0.00491164671257138,0.0172667321946114,2.12402273882653e-07,0,0,6736.30908203125,0.222218990325928,0.19691164791584,0.0839149951934814
2011-12-14,0,0,0,0,0,0,6736.3388671875,0.221666321158409,0.196926459670067,0.0839160084724426
2011-12-15,0,0,0,0,0,0,6736.36865234375,0.22111502289772,0.19694122672081,0.0839170217514038
2011-12-16,0,0,0,0,0,0,6736.3984375,0.220565095543861,0.196955963969231,0.0839180275797844
2011-12-17,0.0230189245194197,0.00365008041262627,0.0159099010409187,9.20253375832848e-08,0.00345885195390226,0,6736.42822265625,0.219698309898376,0.196968153119087,0.083919033408165
2011-12-18,0.0592130273580551,0.0097989346832037,0.0489789790780165,1.15997672276991e-07,0.000434997806869921,0,6736.4580078125,0.218172326683998,0.19697605073452,0.0839200243353844
2011-12-19,0.0680068582296371,0.0113764787092805,0.0562042076925641,1.28651613722499e-07,0.000426044564214663,0,6736.48779296875,0.216505602002144,0.196982741355896,0.0839210152626038
2011-12-20,0.0240794643759727,0.00428754650056362,0.0189306300634489,8.95371996918826e-08,0.0008611975115926,0,6736.517578125,0.215588510036469,0.196994140744209,0.0839220136404037
2011-12-21,0,0,0,0,0,0,6736.54736328125,0.215052336454391,0.197008386254311,0.0839230269193649
2011-12-22,0,0,0,0,0,0,6736.5771484375,0.214517503976822,0.19702260196209,0.0839240401983261
2011-12-23,0,0,0,0,0,0,6736.60693359375,0.213983967900276,0.197036758065224,0.0839250460267067
2011-12-24,0.0190517380833626,0.00329505419358611,0.0127673910418914,6.52490818610382e-08,0.0029892272622199,0,6736.63671875,0.21319642663002,0.197048634290695,0.0839260518550873
2011-12-25,0.0338682346045971,0.00571362394839525,0.0277194984654179,5.9636026708103e-08,0.00043505416851549,0,6736.66650390625,0.212111800909042,0.197058781981468,0.0839270576834679
2011-12-26,0.0964164286851883,0.0156753435730934,0.0725994777016137,3.1502082712199e-06,0.00813845627760736,0,6736.6962890625,0.210132241249084,0.197062000632286,0.0839280337095261
2011-12-27,0.140407100319862,0.0245139636099339,0.102016789826184,7.58539691318153e-06,0.0138687589859661,0,6736.72607421875,0.207569241523743,0.197059005498886,0.0839289873838425
2011-12-28,0.214437574148178,0.0371067002415657,0,0.000189336737123043,0.177141536430418,0,6736.755859375,0.207052901387215,0.197047188878059,0.0839299261569977
2011-12-29,0.0226122010499239,0.00349424779415131,0,7.55640095408436e-05,0.0190423884028852,0,6736.78564453125,0.206537947058678,0.197058320045471,0.0839309245347977
2011-12-30,0.0820078030228615,0.0117740128189325,0,6.17510435392963e-06,0.0702276146499911,0,6736.8154296875,0.206024259328842,0.197063744068146,0.0839319080114365
2011-12-31,0.0809203460812569,0.0112608755007386,0,2.42178568007105e-07,0.0696592306950211,0,6736.84521484375,0.205511853098869,0.197069495916367,0.0839328840374947
2012-01-01,0.107239924371243,0.0139567377045751,0,4.04810498723624e-06,0.0932791351584287,0,6736.875,0.205000698566437,0.197073325514793,0.0839338675141335
2012-01-02,0.0069368570111692,0.000919882266316563,0,2.91604983610193e-08,0.00601694542237281,0,6736.90478515625,0.204490855336189,0.197086036205292,0.0839348658919334
2012-01-03,0,0,0,0,0,0,6736.9345703125,0.203982278704643,0.197099342942238,0.083935871720314
2012-01-04,0,0,0,0,0,0,6736.96435546875,0.203474953770638,0.197112590074539,0.083936870098114
2012-01-05,0.0370323397219181,0.00403603538870811,0,3.78763137723925e-07,0.0329959253493023,0,6736.994140625,0.202968895435333,0.197123050689697,0.083937868475914
2012-01-06,0.0698094815015793,0.00742350798100233,0,2.03477862064393e-07,0.0623857671898963,0,6737.02392578125,0.202464088797569,0.197131156921387,0.0839388519525528
2012-01-07,0.138618275523186,0.0151278292760253,0,4.2031479614899e-05,0.12344841568935,0,6737.0537109375,0.201960504055023,0.19713394343853,0.0839398205280304
2012-01-08,0.11742876470089,0.0135963056236506,0,4.94097260056877e-07,0.103831966955228,0,6737.08349609375,0.20145820081234,0.197137728333473,0.0839407965540886
2012-01-09,0.105284757912159,0.0124113885685802,0,0,0.0928733680241178,0,6737.11328125,0.200957149267197,0.197142273187637,0.0839417725801468
2012-01-10,0.0734689459204674,0.00891350582242012,0,0,0.0645554375487916,0,6737.14306640625,0.200457349419594,0.19714917242527,0.0839427560567856
2012-01-11,0.057429626584053,0.00586019828915596,0,2.35315235544475e-07,0.0515691921127349,0,6737.1728515625,0.19995878636837,0.197158113121986,0.0839437544345856
2012-01-12,0.110963262617588,0.012843731790781,0,2.93589024797827e-07,0.0981192393299642,0,6737.20263671875,0.199461460113525,0.197162240743637,0.0839447304606438
2012-01-13,0.207359224557877,0.0257774647325277,0,2.73297664630976e-07,0.181581491566256,0,6737.232421875,0.198965340852737,0.197157472372055,0.0839456766843796
2012-01-14,0.231797412037849,0.0299233347177505,0.184605491150113,0,0.0172685785672614,0,6737.26220703125,0.194778323173523,0.197149828076363,0.0839466229081154
2012-01-15,0.258582770824432,0.0327450893819332,0.217742037054694,6.01453544002732e-06,0.00808962972618976,0,6737.2919921875,0.189939007163048,0.197139889001846,0.08394755423069
2012-01-16,0.194736316800117,0.0230394061654806,0.16898960602845,1.50090060184856e-06,0.00270579538877076,0,6737.32177734375,0.186086788773537,0.197136163711548,0.083948515355587
2012-01-17,0.33212623000145,0.04081941395998,0.282377988100052,8.36581180654676e-06,0.00892046199864391,0,6737.3515625,0.179976373910904,0.197119936347008,0.0839494243264198
2012-01-18,0.106864623725414,0.0133917778730392,0.0486561134457588,1.33893020947229e-05,0.044803344559713,0,6737.38134765625,0.178555607795715,0.19712196290493,0.0839504078030586
2012-01-19,0.22472657263279,0.028362512588501,0.195555891410974,0.000808161547371121,0,0,6737.4111328125,0.201172694563866,0.197113633155823,0.0839513465762138
2012-01-20,0,0,0,0,0,0,6737.44091796875,0.200672373175621,0.197126656770706,0.0839523524045944
2012-01-21,0.0624822713434696,0.00454305531457067,0,2.96197676026283e-07,0.0579389215599199,0,6737.470703125,0.200173303484917,0.197136521339417,0.0839533433318138
2012-01-22,0.0575817748904228,0.00415842281654477,0,6.75367096175409e-08,0.0534232862660923,0,6737.50048828125,0.199675470590591,0.197146624326706,0.0839543342590332
2012-01-23,0.0367168448865414,0.00288044358603656,0,1.24880665080655e-07,0.033836277403733,0,6737.5302734375,0.199178874492645,0.197157546877861,0.0839553326368332
2012-01-24,0.0601951144635677,0.00477860914543271,0,0,0.0554165059365048,0,6737.56005859375,0.198683485388756,0.19716714322567,0.0839563235640526
2012-01-25,0.12172570079565,0.0110217109322548,0,6.49671824841853e-07,0.110703337758545,0,6737.58984375,0.198189333081245,0.197172403335571,0.0839572995901108
2012-01-26,0.178728669881821,0.017877072095871,0,3.8131227307196e-07,0.160851209850001,0,6737.61962890625,0.197696402668953,0.197172939777374,0.0839582681655884
2012-01-27,0.266489565372467,0.0244781915098429,0,1.1218538468853e-06,0.24201024868524,0,6737.6494140625,0.197204679250717,0.197168916463852,0.0839592218399048
2012-01-28,0.331693649291992,0.0313480645418167,0,1.48319625802226e-05,0.300330751986372,0,6737.67919921875,0.196714177727699,0.197160139679909,0.08396016061306
2012-01-29,0.180955946445465,0.0167659502476454,0.0390641334647015,3.46362249989775e-05,0.125091223057227,0,6737.708984375,0.195443615317345,0.197161316871643,0.0839611291885376
2012-01-30,0.221825674176216,0.0195396337658167,0.193986095954675,4.44821559218538e-06,0.00829549856938095,0,6737.73876953125,0.191077783703804,0.197160452604294,0.0839620903134346
2012-01-31,0.167205899953842,0.0137087227776647,0.151798443137203,6.85609259389703e-07,0.00169804665315241,0,6737.7685546875,0.187566578388214,0.197163239121437,0.0839630663394928
2012-02-01,0.140782713890076,0.00917363632470369,0.130750775337219,2.96992108684268e-07,0.000858009813076155,0,6737.79833984375,0.184485077857971,0.197168812155724,0.0839640498161316
2012-02-02,0.190153136849403,0.0138677610084414,0.175003871321678,5.99170482840541e-07,0.00128090069218806,0,6737.828125,0.18052613735199,0.197170913219452,0.0839650258421898
2012-02-03,0.284951418638229,0.0256612785160542,0.258855015039444,3.05289005719397e-07,0.000434808515536479,0,6737.85791015625,0.174900040030479,0.197164595127106,0.0839659795165062
